ADM0_NAME,ADM1_NAME,ADM2_NAME,Income_Category,Income_Month,Income_Year,IncomeValue,Income_DataSource
Armenia,Aragatsotn,,Agro - Food&Cash Crop,8,2009,33.59216197,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Asset Sales/Savings/Credit,8,2009,0.301407681,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Commerce - Business/Trading,8,2009,3.810975935,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Artisan/Skilled,8,2009,9.058316068,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Daily/Unskilled - Mixed,8,2009,10.47505425,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Labor - Salary/Regular,8,2009,22.91369456,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Non-Wage - Pension/Benefit,8,2009,16.84305333,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Non-Wage - Remittance/Fam. Aid,8,2009,2.852965355,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Aragatsotn,,Other,8,2009,0.152370849,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Agro - Food&Cash Crop,8,2009,34.27787329,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Asset Sales/Savings/Credit,8,2009,1.23621851,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Commerce - Business/Trading,8,2009,7.101223235,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Artisan/Skilled,8,2009,4.327528112,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Daily/Unskilled - Mixed,8,2009,3.547226403,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Labor - Salary/Regular,8,2009,25.23504267,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Non-Wage - Pension/Benefit,8,2009,15.33277419,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Ararat,,Non-Wage - Remittance/Fam. Aid,8,2009,8.942113599,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Agro - Food&Cash Crop,8,2009,17.83504636,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Asset Sales/Savings/Credit,8,2009,20.48680017,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Commerce - Business/Trading,8,2009,3.127813686,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Artisan/Skilled,8,2009,7.703667022,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Daily/Unskilled - Mixed,8,2009,5.316991132,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Labor - Salary/Regular,8,2009,23.96178625,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Non-Wage - Pension/Benefit,8,2009,17.08268494,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Non-Wage - Remittance/Fam. Aid,8,2009,3.993457112,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Armavir,,Other,8,2009,0.491753324,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
Armenia,Gergharkunik,,Agro - Food&Cash Crop,8,2009,8.733795644,"WFP VAM Impact of the Global Financial Crisis on Households, 2010"
